identificationNumber,usertype,firstName,lastName,idDepartment,password,allow
10001,empleado,Carlos,Ramirez,39,123456,true
10002,empleado,Ana,Gomez,39,123456,true
10003,empleado,Juan,Perez,39,123456,true
10004,empleado,Laura,Martinez,39,123456,true
10005,empleado,Diego,Torres,39,123456,true
10006,empleado,Sofia,Hernandez,39,123456,true
10007,empleado,Andres,Lopez,39,123456,true
10008,empleado,Valentina,Castro,39,123456,true
10009,empleado,Daniel,Ortiz,39,123456,true
10010,empleado,Maria,Suarez,39,123456,true

